月份,教务,教学运营稳定性,班级健康度,学员满意度,教学材料完成情况,教师协作情况
2025-03,Cielo_Academic,8.6,9.1,8.8,8.5,8.7
2025-03,Iris_Academic,9.3,8.9,9.4,9.6,8.9
2025-03,Nora_Academic,8.7,8.9,9.0,8.9,8.3
2025-04,Cielo_Academic,8.8,8.6,8.9,8.8,8.4
2025-04,Iris_Academic,8.7,9.0,9.5,8.9,8.4
2025-04,Nora_Academic,8.4,9.0,8.7,8.7,8.6
2025-05,Cielo_Academic,8.3,7.9,8.7,8.4,8.2
2025-05,Iris_Academic,8.8,9.1,9.0,8.9,8.5
2025-05,Nora_Academic,8.6,8.4,8.9,8.5,8.2
2025-06,Cielo_Academic,8.7,8.3,9.6,8.8,8.4
2025-06,Iris_Academic,9.1,8.9,9.6,9.2,8.8
2025-06,Nora_Academic,8.8,9.2,9.2,8.7,9.0
2025-07,Cielo_Academic,8.8,8.7,8.8,8.9,8.3
2025-07,Iris_Academic,8.7,8.8,9.1,8.9,9.2
2025-07,Nora_Academic,8.6,8.8,9.7,9.0,8.5
2025-08,Cielo_Academic,8.4,8.2,8.9,8.6,8.4
2025-08,Iris_Academic,8.1,8.2,9.1,7.9,8.1
2025-08,Nora_Academic,8.3,8.4,9.0,7.9,8.6
2025-09,Cielo_Academic,8.1,8.3,8.3,7.9,7.9
2025-09,Iris_Academic,8.7,9.1,8.9,8.8,8.9
2025-09,Nora_Academic,8.5,8.8,9.1,8.1,8.4
2025-10,Cielo_Academic,8.5,8.3,9.0,8.3,8.0
2025-10,Iris_Academic,8.8,9.3,8.6,8.4,8.6
2025-10,Nora_Academic,8.8,9.0,9.1,8.6,8.8
2025-11,Cielo_Academic,8.7,8.7,8.9,8.6,8.4
2025-11,Iris_Academic,8.2,8.3,8.7,8.3,7.9
2025-11,Nora_Academic,8.0,8.3,8.4,8.1,7.8
2025-12,Cielo_Academic,8.1,8.3,8.3,8.2,8.1
2025-12,Iris_Academic,8.4,8.7,8.3,8.7,8.2
2025-12,Nora_Academic,8.7,8.6,8.6,9.0,7.7
2026-01,Cielo_Academic,8.8,9.2,9.2,9.2,8.7
2026-01,Iris_Academic,8.7,8.0,8.7,9.3,8.9
2026-01,Nora_Academic,8.4,8.6,8.9,8.5,8.0
2026-02,Cielo_Academic,8.9,9.4,9.7,9.2,8.4
2026-02,Iris_Academic,8.6,8.6,8.5,8.8,8.4
2026-02,Nora_Academic,8.7,8.5,8.9,8.9,8.9
2026-03,Cielo_Academic,8.6,8.7,8.2,8.3,8.9
2026-03,Iris_Academic,8.6,8.5,8.9,8.3,8.2
2026-03,Nora_Academic,8.6,8.9,9.4,9.0,8.4
2026-04,Cielo_Academic,9.0,8.8,8.9,8.9,10.0
2026-04,Iris_Academic,8.2,8.0,8.6,8.0,7.5
2026-04,Nora_Academic,9.1,9.2,9.6,9.5,8.9
2026-05,Cielo_Academic,8.8,8.9,9.1,8.5,8.5
2026-05,Iris_Academic,8.7,8.4,8.9,8.9,8.8
2026-05,Nora_Academic,7.7,7.9,8.3,7.3,7.2
2026-06,Cielo_Academic,7.9,7.7,8.7,8.1,7.9
2026-06,Iris_Academic,8.3,8.6,8.3,8.6,8.0
2026-06,Nora_Academic,8.2,8.2,8.3,8.3,7.7
2026-07,Cielo_Academic,8.7,9.1,8.9,9.0,9.3
2026-07,Iris_Academic,8.4,8.0,8.3,8.9,8.5
2026-07,Nora_Academic,7.8,8.0,8.7,7.7,7.7
2026-08,Cielo_Academic,7.6,7.8,8.3,7.1,7.2
2026-08,Iris_Academic,8.3,9.0,8.4,8.5,8.2
2026-08,Nora_Academic,8.5,8.6,8.7,8.0,8.5
